Name,Author,Price,Category,Publisher,Isbn,Pages
the new kingdom,wilbur smith,£20.00,fiction,zaffre publishing uk,9.78179E+12,432
the dawn of language: the story of how we came to talk,sverker johansson,£14.99,psychology,maclehose press uk,9.78153E+12,432
the comfort book,matt haig,$22.00 ,selfhelp,penguin life usa,9.78014E+12,272
the great dream robbery,greg james,£11.99,CHILDREN,puffin uk,9.78024E+12,416
the judge's list: a novel,john grisham,£20.00,fiction,hodder && stoughton uk,9.78153E+12,368
the lincoln highway,amor towles,£13.99,fiction,hutchinson uk,9.78179E+12,592
the lion above the door,onjali q. rauf,£7.99,children,orion children uk,9.78151E+12,320
warriors of god: hussite trilogy (book 2),andrzej sapkowski,£14.99,fiction,gollancz uk,9.78147E+12,656
"world class: how to lead, learn and grow like a champion",ben fennell,£20.00,business,virgin uk,9.78075E+12,320
we're going to find the monster,malorie blackman,£6.99,children,puffin uk,9.78024E+12,32
zen and the art of saving the planet,thich nhat hanh,£14.99,selfhelp,rider uk,9.78185E+12,320
we were never here: a reese witherspoon's new book club pick,andrea bartz,£14.99,fiction,michael joseph uk,9.78024E+12,320
slay,brittney morris,$11.99 ,CHILDREN,simon puls usa,9.78153E+12,352
the skulduggery pleasant grimoire,derek landy,£12.99,CHILDREN,harper teen uk,9.78001E+12,416
"dying to serve: militarism, affect, and the politics of sacrifice in the pakistan army",maria rashid,Rs995.00,pakistan studies,folio books,9.7897E+12,268
no honour,awais khan,£8.99,literature,orenda books,9.78191E+12,276
madir-e-hurriyat bagum jinnah,saad khan,Rs800.00,BIOGRAPHY & AUTOBIOGRAPHY,book corner,9.7897E+12,256
mas'ala-e-falasteen (urdu),edward w. said,Rs1200.00,politics,book corner,9.7897E+12,399
kulliyat-e-anwar masood,anwar masood,Rs1200.00,literature,book corner,9.7897E+12,568
islami taareekh-o-tehzeeb (urdu),bari aleeg,Rs500.00,history,book corner,9.7897E+12,175
duniya badal rahi hai (urdu),syed tariq mehmoodul hassan,Rs1195.00,politics,book corner,9.7897E+12,263
duniya ki so azeem kitaabein (urdu),sattar tahir,Rs1500.00,literature,book corner,9.7897E+12,655
dhaaka main aaon ga (urdu),sohail parvaaz,Rs900.00,literature,book corner,9.7897E+12,447
company ki hakoomat (urdu),bari aleeg,Rs800.00,history,book corner,9.7897E+12,407
chalo insha j ke paas chalein (urdu),riaz ahmed riaz,Rs700.00,BIOGRAPHY & AUTOBIOGRAPHY,book corner,9.7897E+12,700
adh adhoore log (urdu),hafeez khan,Rs700.00,literature,book corner,9.7897E+12,255
unchaas din (urdu),amrita pritam,Rs500.00,literature,book corner,9.7897E+12,247
time stop hero (volume 1),yasunori mitsunaga,$12.99 ,CHILDREN,seven seas usa,9.78165E+12,180
we swore to meet in the next life and that's when things got weird! (volume 3),hato hachiya,$12.99 ,CHILDREN,seven seas usa,9.78165E+12,128
"what do you say?: how to talk with kids to build motivation, stress tolerance, and a happy home",hitsuji yamada,$28.00 ,psychology,viking,9.78198E+12,180
when will ayumu make his move? (volume 1),soichiro yamamoto,$12.99 ,CHILDREN,kodansha comics,9.78165E+12,152
whistle: a new gotham city hero (volume 1),e. lockhart,$16.99 ,adult graphic novels,dc comics,9.7814E+12,208
witch hat atelier (volume 8),kamome shirahama,$12.99 ,CHILDREN,kodansha comics,9.78165E+12,160
wonder cat kyuu-chan (volume 3),sasami nitori,$14.99 ,CHILDREN,seven seas usa,9.78165E+12,128
wonder woman: 80 years of the amazon warrior the deluxe edition,george perez,$29.99 ,adult graphic novels,dc comics,9.78178E+12,416
world of eric carle preschool workbook,wiley blevins,$8.99 ,children,world of eric carle,9.78059E+12,112
wotakoi: love is hard for otaku (volume 5),fujita,$17.99 ,CHILDREN,kodansha comics,9.78165E+12,256
zero point: batman/fortnite (volume 1),christos gage,$24.99 ,adult graphic novels,dc comics,9.78178E+12,144
the captive kingdom: the ascendance series (book 4),jennifer a. nielsen,$8.99 ,children,scholastic inc.,9.78134E+12,400
the cowardly lot: batman (volume 4),james tynion iv,$24.99 ,adult graphic novels,dc comics,9.78178E+12,168
the colour monster goes to school,anna llenas,£6.99,children,templar publishing uk,9.78179E+12,40
the last letter from your lover: movie tie in edition,jojo moyes,£8.99,fiction,hodder && stoughton uk,9.78153E+12,512
those not-so-sweet boys (volume 4),yoko nogiri,$10.99 ,CHILDREN,kodansha comics,9.78165E+12,176
"three dangerous men: russia, china, iran and the rise of irregular warfare",seth g. jones,$27.95 ,politics,w.w. norton,9.78132E+12,288
the world: batman (volume 1),various,$24.99 ,,dc comics,9.78178E+12,176
agent of peace: wonder woman global guardian (volume 1),amanda conner,$19.99 ,adult graphic novels,dc comics,9.78178E+12,192
"ai superpowers: china, silicon valley, and the new world order",kai-fu lee,$16.99 ,business,mariner books usa,9.78036E+12,288
art in the first cities of iran and central asia: the sarikhani collection,agnes benoit,$45.00 ,art,yale university press,9.7803E+12,272
being and nothingness,jean paul sartre,$22.00 ,philosophy,washington square usa,9.78198E+12,928
batman in the fifties (volume 1),various,$29.99 ,adult graphic novels,dc comics,9.78178E+12,328
battle angel alita (volume 2),yukito kishiro,$12.99 ,CHILDREN,kodansha comics,9.78165E+12,304
dragonslayer: wings of fire legends (book 2),tui t. sutherland,$9.99 ,children,scholastic usa,9.78134E+12,512
samak the ayyar: a tale of ancient persia,freydoon rassouli,$28.00 ,literature,columbia university press,9.78023E+12,464
"a school frozen in time, volume (volume 3)",naoshi arakawa,$12.95 ,,vertical comics,9.78165E+12,210
"the 80 years, 80 stories: best of archie comics",archie superstars,$14.99 ,CHILDREN,archie comics,9.78165E+12,704
parallel paradise (volume 6),lynn okamoto,$13.99 ,CHILDREN,seven seas usa,9.78165E+12,180
boys run the riot (volume 3),gaku,$12.99 ,CHILDREN,kodansha comics,9.78165E+12,208
codename: sailor v eternal edition 1 (volume 11),naoko takeuchi,$27.99 ,CHILDREN,kodansha comics,9.78165E+12,288
contemporary perspectives on revelation and qur'anic hermeneutics: an analysis of four discourses,ali akbar,£19.99,religion,edinburgh university,9.78147E+12,200
criminal sanity: joker/harley (volume 1),kami garcia,$34.99 ,adult graphic novels,dc comics,9.78178E+12,304
curse of the white knight: batman day special edition (volume 1),sean murphy,$24.99 ,adult graphic novels,dc comics,9.78178E+12,272
disciple of the lich: or how i was cursed by the gods and dropped into the abyss! light novel (volume 1),nekoko,$13.99 ,CHILDREN,airship usa,9.78165E+12,320
drifting dragons (volume 9),taku kuwabara,$12.99 ,CHILDREN,kodansha comics,9.78165E+12,192
dungeon dive: aim for the deepest level (volume 1),tarisa warinai,$12.99 ,CHILDREN,seven seas usa,9.78165E+12,180
fighters by trade: birds of prey (volume 1),gail simone,$24.99 ,adult graphic novels,dc comics,9.78178E+12,272
fire force (volume 24),atsushi ohkubo,$10.99 ,CHILDREN,kodansha comics,9.78165E+12,192
economics and the left: interviews with progressive economists,robert pollin,£25.00,business,verso press,9.78184E+12,432
empire and jihad: the anglo-arab wars of 1870-1920,neil faulkner,$35.00 ,history,yale university press,9.7803E+12,352
google leaks: a whistleblower's expose of big tech censorship,zach vorhies,$24.99 ,politics,skyhorse publishing usa,9.78151E+12,208
friendly face: five nights at freddy's fazbear frights (book 10),scott cawthon,£7.99,children,scholastic uk,9.78134E+12,272
house of kent: superman: action comics (volume 5),brian michael bendis,$17.99 ,adult graphic novels,dc comics,9.78178E+12,184
how a realist hero rebuilt the kingdom: light novel (volume 12),dojyomaru,$13.99 ,,airship usa,9.78165E+12,250
high-rise invasion (volume 19-21),tsuina miura,$24.99 ,CHILDREN,seven seas usa,9.78165E+12,672
how not to summon a demon lord (volume 12),yukiya murasaki,$12.99 ,CHILDREN,seven seas usa,9.78165E+12,180
heaven's design team (volume 6),hebi-zou,$12.99 ,CHILDREN,kodansha comics,9.78165E+12,144
llama llama doctors are here to help!: little golden book,anna dewdney,$5.99 ,children,golden books,9.78059E+12,24
orient (volume 5),shinobu ohtaka,$10.99 ,CHILDREN,kodansha comics,9.78165E+12,192
my status as an assassin obviously exceeds the hero's: light novel (volume 1),matsuri akai,$14.99 ,CHILDREN,airship usa,9.78165E+12,320
narwhal on a sunny night: magic tree house (book 33),mary pope osborne,$5.99 ,children,random house books for young readers,9.78053E+12,128
modi's india: hindu nationalism and the rise of ethnic democracy,christophe jaffrelot,$35.00 ,politics,princeton university press,9.78069E+12,656
sachi's monstrous appetite (volume 4),chomoran,$12.99 ,CHILDREN,kodansha comics,9.78165E+12,192
shikimori's not just a cutie (volume 6),keigo maki,$12.99 ,CHILDREN,kodansha comics,9.78165E+12,160
star-crossed!! (volume 3),junko,$12.99 ,CHILDREN,kodansha comics,9.78165E+12,176
starting school,allan ahlberg,£6.99,children,puffin uk,9.78072E+12,32
superman & lois lane: the 25th wedding anniversary deluxe edition,dan jurgens,$34.99 ,adult graphic novels,dc comics,9.78178E+12,208
sweat and soap (volume 9),kintetsu yamada,$12.99 ,CHILDREN,kodansha comics,9.78165E+12,208
the best american poetry 2021,david lehman,$20.00 ,literature,scribner press usa,9.78198E+12,240
the best short stories 2021: the o. henry prize winners (the o. henry prize collection),chimamanda ngozi adichie,$16.95 ,literature,anchor,9.78059E+12,400
rent-a-girlfriend (volume 8),reiji miyajima,$12.99 ,CHILDREN,kodansha comics,9.78165E+12,208
red comet: the short life and blazing art of sylvia plath,chimamanda ngozi adichie,$20.00 ,BIOGRAPHY & AUTOBIOGRAPHY,knopf,9.78031E+12,400
reincarnated as a sword (volume 7),yuu tanaka,$12.99 ,CHILDREN,seven seas usa,9.78165E+12,180
second son: the next batman (volume 1),john ridley,$24.99 ,adult graphic novels,dc comics,9.78178E+12,128
peach boy riverside (volume 2),coolkyousinnjya,$12.99 ,CHILDREN,kodansha comics,9.78165E+12,176
quantum computing: the transformative technology of the qubit revolution,brian clegg,£8.99,science,icon books uk,9.78179E+12,160
america before: the key to earth's lost civilization,graham hancock,£10.99,history,coronet uk,9.78147E+12,640
arif naqvi's abraaj group & the geopolitics of karachi electric,brian brivati,Rs2450.00,politics,vanguard books,9.78969E+12,347
steelstriker: skyhunter duology (book 2),marie lu,$12.99 ,CHILDREN,roaring brook usa,9.78125E+12,416
beasts and beauty: dangerous tales,soman chainani,$17.99 ,children,harper collins usa,9.78006E+12,336
"discontent and its civilizations: dispatches from lahore, new york, and london",mohsin hamid,£10.99,literature,penguin uk,9.78024E+12,208
computer science: cambridge igcse and o level (2nd edtion),david watson,£27.00,COMPUTER,hodder education uk,9.7814E+12,400
cambridge igcse biology (4th edition),d.g. mackean,£27.00,science,hodder education uk,9.7814E+12,456
cambridge igcse physics  (4th edition),heather kennett,£27.00,science,hodder education uk,9.7814E+12,368
"buy the roses, book the trip, say the words: a no-regrets journal for pure happiness",lucy juarez,$16.99 ,journals & diaries,castle point books usa,9.78125E+12,128
"purpose, not perfection: a journal for quieting the negative voices and loving the life you have",aimee chase,$14.99 ,journals & diaries,castle point books usa,9.78125E+12,128
set fire to the gods,sara raasch,$10.99 ,CHILDREN,harper collins usa,9.78006E+12,448
rock paper scissors: a novel,alice feeney,£8.99,fiction,harlequin uk,9.78001E+12,320
razorblade tears: a novel,s.a. cosby,£14.99,fiction,headline uk,9.78147E+12,336
the bronzed beasts: the gilded wolves (book 3),roshani chokshi,$10.99 ,CHILDREN,wednesday books usa,9.78125E+12,0.25
"the burner journal: a no-holds-barred journal for your deepest, darkest thoughts",annamarie houlis,$14.99 ,journals & diaries,castle point books usa,9.78125E+12,128
leave the world behind,rumaan alam,£8.99,literature,bloomsbury uk,9.78153E+12,256
thinking in bets: making smarter decisions when you don't have all the facts,annie duke,$14.00 ,business,portfolio usa,9.78074E+12,288
"three tigers, one mountain: a journey through the bitter history and current conflicts of china, korea and japan",michael booth,£9.99,history,vintage uk,9.78178E+12,368
the lost book of the white: the eldest curses (book 2),cassandra clare,£7.99,CHILDREN,simon && schuster uk,9.78147E+12,400
the last legacy: a novel,adrienne young,$18.99 ,,wednesday books usa,9.78125E+12,336
we are all sinners in the end,sateah afreedi,Rs1000.00,literature,sateah afreedi,9.78012E+12,95
yona of the dawn (volume 31),mizuho kusanagi,£7.99,CHILDREN,viz media,9.78197E+12,192
lady midnight: the dark artifices (book 1) (anniversary edition),cassandra clare,£14.99,CHILDREN,simon && schuster uk,9.7814E+12,704
snow white with the red hair (volume 14),sorata akiduki,£7.99,CHILDREN,viz media,9.78197E+12,184
persona 5: (volume 7),hisato murasaki,£7.99,CHILDREN,viz media,9.78197E+12,200
pokemon: sword & shield (volume 1),hidenori kusaka,£3.99,CHILDREN,viz media,9.78197E+12,104
call of the night (volume 3),kotoyama,£7.99,CHILDREN,viz media,9.78197E+12,208
cloud cuckoo land: a novel,anthony doerr,£12.99,literature,fourth estate uk,9.78001E+12,640
fullmetal alchemist: fullmetal edition (volume 14),hiromu arakawa,£15.99,CHILDREN,viz media,9.78197E+12,288
guardians of the whills: star wars manga,jon tsuei,£10.99,CHILDREN,viz media,9.78197E+12,196
dragon city: dragon realm (book 3),katie tsang,£7.99,children,simon && schuster uk,9.78147E+12,320
pokemon adventures: black 2 & white 2 (volume 4),hidenori kusaka,£7.99,CHILDREN,viz media,9.78197E+12,128
assassin's creed: blade of shao jun (volume 1),minoji kurata,£10.99,CHILDREN,viz media,9.78197E+12,160
pokemon annual 2022,the pokemon company,£8.99,children,farshore uk,9.78076E+12,72
war lord: the last kingdom series (book 13),bernard cornwell,£6.99,fiction,harper collins uk,9.78001E+12,400
battlegrounds: the fight to defend the free world,h.r. mcmaster,£10.99,BIOGRAPHY & AUTOBIOGRAPHY,william collins uk,9.78001E+12,560
all new minecraft combat handbook,mojang ab,£9.99,children,farshore uk,9.78076E+12,96
all new minecraft creative handbook,mojang ab,£9.99,children,farshore uk,9.78076E+12,96
aarti & the blue gods,jasbinder bilan,£7.99,children,chicken house uk,9.78191E+12,256
empire of the vampire: empire of the vampire (book 1),jay kristoff,£14.99,fiction,voyager uk,9.78001E+12,736
freckles,cecelia ahern,£12.99,fiction,harper collins uk,9.78001E+12,352
blueprint: build a bulletproof body for extreme adventure in 365 days,ross edgley,£14.99,health,harper collins uk,9.78001E+12,384
divergent series four-book collection box set (books 1-4),veronica roth,£31.96,CHILDREN,harper uk,9.78001E+12,2080
pygmalion (collins classics),george bernard shaw,£2.50,literature,collins classics uk,9.78001E+12,144
the bad guys: episode 11 & 12,aaron blabey,£6.99,children,scholastic uk,9.7807E+12,384
listen: how to find the words for tender conversations,kathryn mannix,£14.99,selfhelp,william collins uk,9.78001E+12,272
not a life coach: are you ready to change your life?,james smith,£9.99,selfhelp,harper collins uk,9.78001E+12,288
pages & co. series three-book collection box set (books 1-3),anna james,£20.97,children,harper uk,9.78001E+12,1264
magpie,elizabeth day,£12.99,fiction,fourth estate uk,9.78001E+12,336
tilly and the map of stories: pages & co. (book 3),anna james,£6.99,children,harper uk,9.78001E+12,464
"the hunger games 4 books paperback box set (the hunger games, catching fire, mockingjay, the ballad of songbirds and snakes)",suzanne collins,£35.96,CHILDREN,scholastic uk,9.7807E+12,1936
the book smugglers: pages & co (book 4),anna james,£12.99,children,harper uk,9.78001E+12,432
the confessions of saint augustine (collins classics),saint augustine,£2.50,BIOGRAPHY & AUTOBIOGRAPHY,collins classics uk,9.78001E+12,352
the gate to china: a new history of the people's republic & hong kong,michael sheridan,£16.99,history,william collins uk,9.78001E+12,512
the status game: on social position and how we use it,will storr,£14.99,psychology,william collins uk,9.78001E+12,416
"pakistan on the brink: the future of pakistan, afghanistan and the west",ahmed rashid,£12.99,politics,penguin uk,9.78024E+12,256
rodham: what if hillary hadn't married bill?,curtis sittenfeld,£8.99,fiction,black swan uk,9.78055E+12,432
room on the broom 20th anniversary edition,julia donaldson,£6.99,children,macmillan children uk,9.78153E+12,32
room on the broom and the snail and the whale board book gift slipcase,julia donaldson,£12.99,children,macmillan children uk,9.78153E+12,0
peanut jones and the illustrated city (black & white illustrated),rob biddulph,£6.99,children,macmillan children uk,9.78153E+12,384
pirate stew,neil gaiman,£7.99,children,bloomsbury children uk,9.78153E+12,48
orphans of the storm,celia imrie,£14.99,fiction,bloomsbury uk,9.78153E+12,416
just one of those days,jill murphy,£6.99,children,macmillan children uk,9.78153E+12,36
defy the night,brigid kemmerer,£7.99,CHILDREN,bloomsbury uk,9.78153E+12,496
danger at dead man's pass: adventures on train (book 4),m.g. leonard,£6.99,children,macmillan children uk,9.78153E+12,288
chronicles from the land of the happiest people on earth,wole soyinka,£13.99,literature,bloomsbury circus uk,9.78153E+12,464
the nature of middle-earth,j.r.r. tolkien,£25.00,literary criticism,harper collins uk,9.78001E+12,464
the butler: a novel,danielle steel,£14.99,fiction,macmillan uk,9.78153E+12,272
yusuf azeem is not a hero,saadia faruqi,$16.99 ,children,quill tree books usa,9.78006E+12,368
courage is calling: fortune favors the brave,ryan holiday,$25.00 ,selfhelp,portfolio usa,9.78059E+12,304
a tale of sorcery: a tale of magic series (book 3),chris colfer,£12.99,children,little brown children uk,9.78151E+12,448
a tale of witchcraft: a tale of magic (book 2),chris colfer,£7.99,children,little brown children uk,9.78151E+12,448
poison for breakfast,lemony snicket,£10.99,children,rock the boat uk,9.78086E+12,176
peril,bob woodward,£20.00,politics,simon && schuster uk,9.7814E+12,512
signature pedagogies of teacher education in pakistan,ayesha bashiruddin,Rs1495.00,education,vanguard books,9.78969E+12,255
this house of clay and water,faiqa mansab,Rs1195.00,literature,liberty publishing,9.7897E+12,323
the story of the world in 100 moments,neil oliver,£25.00,history,bantam uk,9.78179E+12,432
the sun dog: four past midnight,stephen king,£7.99,fiction,hodder && stoughton uk,9.78153E+12,224
the tyranny of merit: what's become of the common good?,michael j. sandel,£9.99,politics,penguin uk,9.78014E+12,288
the weirdest people in the world: how the west became psychologically peculiar and particularly prosperous,joseph henrich,£14.99,history,penguin uk,9.78014E+12,704
the primrose railway children,jacqueline wilson,£12.99,children,puffin uk,9.78024E+12,512
the seven ages of death: a forensic pathologist's journey through life,richard shepherd,£14.99,biography & autobiography,michael joseph uk,9.78024E+12,416
the genesis quest: the geniuses and eccentrics on a journey to uncover the origin of life on earth,michael marshall,£9.99,science,weidenfeld && nicolson uk,9.78147E+12,368
the future of food: how to feed the planet without destroying it (wired guides),matthew reynolds,£8.99,science,random house business books uk,9.78185E+12,192
the human cosmos: a secret history of the stars,jo marchant,£9.99,science,canongate uk,9.78179E+12,368
the langoliers: four past midnight,stephen king,£7.99,fiction,hodder && stoughton uk,9.78153E+12,320
the last duel: media tie-in edition,eric jager,£8.99,history,arrow uk,9.78179E+12,256
the last graduate: the scholomance (book 2),naomi novik,£13.99,fiction,del rey uk,9.78153E+12,400
the lying life of adults,elena ferrante,£8.99,literature,europa editions uk,9.78179E+12,336
the literary almanac: a year of seasonal reading,francesca beauman,£14.99,literature,greenfinch uk,9.78153E+12,192
we free the stars: sands of arawiya (book 2) (tiktok made me buy it!),hafsah faizal,$19.99 ,CHILDREN,farrar straus giroux usa,9.78037E+12,592
together: memorable meals made easy,jamie oliver,£26.00,cooking,michael joseph uk,9.78024E+12,360
underbelly,anna whitehouse,£13.99,fiction,orion uk,9.7814E+12,352
velvet was the night,silvia moreno-garcia,£14.99,fiction,jo fletcher books uk,9.78153E+12,304
"woke, inc.: inside the social justice scam",vivek ramaswamy,£20.00,business,swift press,9.7818E+12,368
spare parts: a surprising history of transplants,paul craddock,£18.99,history,fig tree uk,9.78024E+12,320
ten days in harlem: fidel castro and the making of the 1960s,simon hall,£9.99,history,faber and faber uk,9.78057E+12,288
that will never work: the birth of netflix and the amazing life of an idea,marc randolph,£9.99,business,endeavour uk,9.78191E+12,320
the afghanistan papers: a secret history of the war,craig whitlock,£22.00,history,simon && schuster uk,9.78198E+12,368
